org,dest
5201108,2700300
5201108,2504009
5201108,2405801
5201108,2802908
5201108,2516300
5201108,2402006
5201108,2704302
5201108,2408102
5201108,1100114
5201108,2800308
5201108,1100106
5201108,2507507
5201108,1400100
5201108,1702109
5201108,2408003
5201108,1721000
5201108,2702405
5201108,2516201
5201108,2804508
5201108,2203909
5201108,1600303
5201108,1200104
4202305,2700300
4202305,2504009
4202305,2405801
4202305,2802908
4202305,2516300
4202305,2402006
4202305,2704302
4202305,2408102
4202305,1100114
4202305,2800308
4202305,1100106
4202305,2507507
4202305,1400100
4202305,1702109
4202305,2408003
4202305,1721000
4202305,2702405
4202305,2516201
4202305,2804508
4202305,2203909
4202305,1600303
4202305,1200104
3154606,2700300
3154606,2504009
3154606,2405801
3154606,2802908
3154606,2516300
3154606,2402006
3154606,2704302
3154606,2408102
3154606,1100114
3154606,2800308
3154606,1100106
3154606,2507507
3154606,1400100
3154606,1702109
3154606,2408003
3154606,1721000
3154606,2702405
3154606,2516201
3154606,2804508
3154606,2203909
3154606,1600303
3154606,1200104
2611606,2700300
2611606,2504009
2611606,2405801
2611606,2802908
2611606,2516300
2611606,2402006
2611606,2704302
2611606,2408102
2611606,1100114
2611606,2800308
2611606,1100106
2611606,2507507
2611606,1400100
2611606,1702109
2611606,2408003
2611606,1721000
2611606,2702405
2611606,2516201
2611606,2804508
2611606,2203909
2611606,1600303
2611606,1200104
4106902,2700300
4106902,2504009
4106902,2405801
4106902,2802908
4106902,2516300
4106902,2402006
4106902,2704302
4106902,2408102
4106902,1100114
4106902,2800308
4106902,1100106
4106902,2507507
4106902,1400100
4106902,1702109
4106902,2408003
4106902,1721000
4106902,2702405
4106902,2516201
4106902,2804508
4106902,2203909
4106902,1600303
4106902,1200104
2930709,2700300
2930709,2504009
2930709,2405801
2930709,2802908
2930709,2516300
2930709,2402006
2930709,2704302
2930709,2408102
2930709,1100114
2930709,2800308
2930709,1100106
2930709,2507507
2930709,1400100
2930709,1702109
2930709,2408003
2930709,1721000
2930709,2702405
2930709,2516201
2930709,2804508
2930709,2203909
2930709,1600303
2930709,1200104
4115200,2700300
4115200,2504009
4115200,2405801
4115200,2802908
4115200,2516300
4115200,2402006
4115200,2704302
4115200,2408102
4115200,1100114
4115200,2800308
4115200,1100106
4115200,2507507
4115200,1400100
4115200,1702109
4115200,2408003
4115200,1721000
4115200,2702405
4115200,2516201
4115200,2804508
4115200,2203909
4115200,1600303
4115200,1200104
2304400,2700300
2304400,2504009
2304400,2405801
2304400,2802908
2304400,2516300
2304400,2402006
2304400,2704302
2304400,2408102
2304400,1100114
2304400,2800308
2304400,1100106
2304400,2507507
2304400,1400100
2304400,1702109
2304400,2408003
2304400,1721000
2304400,2702405
2304400,2516201
2304400,2804508
2304400,2203909
2304400,1600303
2304400,1200104
3170206,2700300
